****************************** PROCRANK MEMORY REPORT FOR PACKAGE: START
### package_name=com.bestv.ott monitor_interval=1
*VSS - Virtual Set Size,    RSS - Resident Set Size,    PSS - Proportional Set Size,    USS - Unique Set Size
*Time   PID       Vss      Rss      Pss      Uss  cmdline
16:00:02   3372   748380K  234136K  210205K  207388K  com.bestv.ott
16:00:04   3372   748380K  234136K  210205K  207388K  com.bestv.ott
16:00:07   3372   748764K  234292K  210361K  207544K  com.bestv.ott
16:00:10   3372   748732K  234292K  210361K  207544K  com.bestv.ott
16:00:12   3372   752152K  235096K  211125K  208300K  com.bestv.ott
16:00:15   3372   748380K  245320K  221389K  218572K  com.bestv.ott
16:00:18   3372   763196K  237236K  212677K  209860K  com.bestv.ott
16:00:21   3372   752000K  234820K  210889K  208072K  com.bestv.ott
16:00:24   3372   753040K  227132K  203201K  200384K  com.bestv.ott
16:00:26   3372   732180K  234140K  210209K  207392K  com.bestv.ott
16:00:29   3372   732180K  234140K  210209K  207392K  com.bestv.ott
16:00:32   3372   748956K  235388K  211457K  208640K  com.bestv.ott
16:00:35   3372   734900K  231004K  207073K  204256K  com.bestv.ott
16:00:37   3372   748540K  238360K  214429K  211612K  com.bestv.ott
16:00:40   3372   748380K  238332K  214401K  211584K  com.bestv.ott
16:00:43   3372   748540K  238360K  214429K  211612K  com.bestv.ott
16:00:46   3372   748540K  238560K  214629K  211812K  com.bestv.ott
16:00:48   3372   724084K  230112K  206181K  203364K  com.bestv.ott
16:00:51   3372   748796K  238692K  214761K  211944K  com.bestv.ott
16:00:54   3372   749020K  238788K  214857K  212040K  com.bestv.ott
16:00:57   3372   749020K  238776K  214845K  212028K  com.bestv.ott
16:01:00   3372   775688K  253004K  228985K  226160K  com.bestv.ott
16:01:02   3372   753860K  259892K  235849K  233020K  com.bestv.ott
16:01:05   3372   725168K  247604K  223626K  220808K  com.bestv.ott
16:01:08   3372   790372K  245580K  221577K  218764K  com.bestv.ott
16:01:11   3372   782576K  245604K  221525K  218700K  com.bestv.ott
16:01:14   3372   732376K  223820K  199881K  197060K  com.bestv.ott
16:01:17   3372   689900K  185476K  161571K  158784K  com.bestv.ott
16:01:20   3372   716448K  207036K  183125K  180344K  com.bestv.ott
